intervention,delta_mean_anomaly,delta_mean_benign,n_rows_anomaly,n_rows_benign,selectivity_proxy
control1,1.4890002603351604e-05,3.8811384001746774e-05,21540.0,1978460.0,-2.392138139839517e-05
control3,0.0001074684041668661,0.0001430306729162112,21540.0,1978460.0,-3.5562268749345094e-05
top1,0.0036139709409326315,1.545229861221742e-05,21540.0,1978460.0,0.003598518642320414
top3,0.008324481546878815,3.5257035051472485e-05,21540.0,1978460.0,0.008289224511827342
top5,0.011313842609524727,8.183237514458597e-05,21540.0,1978460.0,0.011232010234380141
