layer,latent_mult,k,context_mode,target,n_receivers,estimate,ci_low,ci_high,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage
18,4,4,team,top3,70,0.0014455999646867989,0.0006228590650217879,0.002328278943896299,-0.013244253396987888,-0.012049001029559516,0.0007968097925186054,0.0005464621952601745,0.0011952523674283715,-0.0002503475972584309
18,4,4,project_role,top5,70,0.0007489404508045744,0.00030649822737489673,0.0012065025738307407,-0.023587639416967083,-0.02283869896616251,0.0007968097925186054,0.0007968097925186054,0.0007489404508045742,0.0
18,4,4,team,top5,70,0.0004941603967121663,-0.00041272384779793465,0.0013547424865620451,-0.02303064508097509,-0.022786832281521358,0.0007968097925186054,0.0005464621952601745,0.00024381279945373188,-0.0002503475972584309
18,4,4,dept_role,top3,70,0.0004620530775615187,5.265867071492202e-05,0.0008883590357644279,-0.012775163991110639,-0.01231311091354912,0.0007968097925186054,0.0007968097925186054,0.00046205307756151844,0.0
18,4,4,dept_role,top5,70,0.000397069113595143,-6.652574454034377e-05,0.0008745373146874511,-0.023235768079757652,-0.02283869896616251,0.0007968097925186054,0.0007968097925186054,0.0003970691135951436,0.0
18,4,4,role,top5,70,0.00035002699920108973,-3.4410932234357374e-05,0.0007454214564391454,-0.023188725965363602,-0.02283869896616251,0.0007968097925186054,0.0007968097925186054,0.0003500269992010932,0.0
18,4,4,role,top3,70,0.0003370634147099128,-1.247777470520481e-05,0.0006893499195575703,-0.012650174328259033,-0.01231311091354912,0.0007968097925186054,0.0007968097925186054,0.00033706341470991254,0.0
18,4,4,team,top1,70,0.000332263112068171,-0.0004945403231041791,0.001125383132270382,-0.0015411147049494967,-0.0014591991901397564,0.0007968097925186054,0.0005464621952601745,8.19155148097403e-05,-0.0002503475972584309
18,4,4,project_role,top3,70,0.0003057164805276098,-2.59594193526661e-06,0.0006329547294548632,-0.012618827394076729,-0.01231311091354912,0.0007968097925186054,0.0007968097925186054,0.0003057164805276083,0.0
18,4,4,role,top1,70,-0.00019978710583277694,-0.00027502536773681396,-0.00012814405773367525,-0.0013222843408584488,-0.001522071446691226,0.0007968097925186054,0.0007968097925186054,-0.0001997871058327771,0.0
18,4,4,project_role,top1,70,-0.0002091373716081914,-0.00029039217957429006,-0.00013537207884448197,-0.0013129340750830346,-0.001522071446691226,0.0007968097925186054,0.0007968097925186054,-0.00020913737160819135,0.0
18,4,4,dept_role,top1,70,-0.0002514664615903591,-0.00035123634551252283,-0.0001612785884312218,-0.001270604985100867,-0.001522071446691226,0.0007968097925186054,0.0007968097925186054,-0.0002514664615903589,0.0
