layer,latent_mult,k,feature_set,n_features,feature_ids,mean_row_gap
18,4,4,top1,1,[819],12.016782760620115
18,4,4,top3,3,"[819, 2712, 3178]",5.764549175898234
18,4,4,top5,5,"[819, 2712, 3178, 1559, 7939]",4.013308835029602
18,4,4,control1,1,[2814],-0.0104748904705047
18,4,4,control3,3,"[2814, 4723, 6938]",0.005241500834624001
