layer,latent_mult,k,context_mode,target,n_receivers,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage,top_minus_control_advantage
18,4,8,role,top5,70,-0.06702299458639963,-0.05839837108339582,-0.010173030836241586,-0.008396103126662119,0.008624623503003803,0.0017769277095794674,0.006847695793424336
18,4,8,dept_role,top5,70,-0.06722852289676666,-0.05839837108339582,-0.010408157961709158,-0.008396103126662119,0.008830151813370837,0.0020120548350470394,0.006818096978323798
18,4,8,project_role,top5,70,-0.06450221623693193,-0.058385721274784634,-0.010306773015430995,-0.00839090985911233,0.006116494962147299,0.001915863156318665,0.0042006318058286345
18,4,8,team,top5,70,-0.04944581474576678,,-0.009875339269638062,,,,
