timestamp,index,name,memory.used MiB,memory.total MiB,utilization.gpu %
2026/07/16 18:56:22.749, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:56:32.785, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:56:42.820, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:56:52.856, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:57:02.891, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:57:12.937, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:57:22.977, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:57:33.012, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:57:43.050, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:57:53.086, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:58:03.123, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:58:13.170, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:58:23.210, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:58:33.246, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:58:43.284, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:58:53.319, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:59:03.353, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:59:13.388, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:59:23.426, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:59:33.462, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:59:43.498, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 18:59:53.534, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:00:03.574, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:00:13.611, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:00:23.649, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:00:33.684, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:00:43.720, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:00:53.756, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:01:03.793, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:01:13.828, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:01:23.866, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:01:33.906, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:01:43.946, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:01:53.986, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:02:04.028, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:02:14.069, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:02:24.111, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:02:34.165, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:02:44.205, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:02:54.245, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:03:04.285, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:03:14.326, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:03:24.372, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:03:34.412, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/16 19:03:44.454, 0, NVIDIA A100-SXM4-40GB, 8509, 40960, 3
2026/07/16 19:03:54.492, 0, NVIDIA A100-SXM4-40GB, 8611, 40960, 7
2026/07/16 19:04:04.531, 0, NVIDIA A100-SXM4-40GB, 8643, 40960, 9
2026/07/16 19:04:14.570, 0, NVIDIA A100-SXM4-40GB, 8677, 40960, 7
2026/07/16 19:04:24.612, 0, NVIDIA A100-SXM4-40GB, 10817, 40960, 100
2026/07/16 19:04:34.653, 0, NVIDIA A100-SXM4-40GB, 10817, 40960, 100
2026/07/16 19:04:44.695, 0, NVIDIA A100-SXM4-40GB, 10817, 40960, 100
2026/07/16 19:04:54.735, 0, NVIDIA A100-SXM4-40GB, 10817, 40960, 81
2026/07/16 19:05:04.774, 0, NVIDIA A100-SXM4-40GB, 6775, 40960, 100
2026/07/16 19:05:14.847, 0, NVIDIA A100-SXM4-40GB, 6775, 40960, 100
2026/07/16 19:05:24.890, 0, NVIDIA A100-SXM4-40GB, 13177, 40960, 100
2026/07/16 19:05:34.931, 0, NVIDIA A100-SXM4-40GB, 13177, 40960, 100
2026/07/16 19:05:44.971, 0, NVIDIA A100-SXM4-40GB, 13177, 40960, 87
2026/07/16 19:05:55.015, 0, NVIDIA A100-SXM4-40GB, 10777, 40960, 100
2026/07/16 19:06:05.056, 0, NVIDIA A100-SXM4-40GB, 10777, 40960, 100
2026/07/16 19:06:15.097, 0, NVIDIA A100-SXM4-40GB, 10817, 40960, 100
2026/07/16 19:06:25.154, 0, NVIDIA A100-SXM4-40GB, 10817, 40960, 100
2026/07/16 19:06:35.196, 0, NVIDIA A100-SXM4-40GB, 10817, 40960, 100
2026/07/16 19:06:45.278, 0, NVIDIA A100-SXM4-40GB, 6775, 40960, 100
2026/07/16 19:06:55.317, 0, NVIDIA A100-SXM4-40GB, 6775, 40960, 100
2026/07/16 19:07:05.370, 0, NVIDIA A100-SXM4-40GB, 12675, 40960, 100
2026/07/16 19:07:15.413, 0, NVIDIA A100-SXM4-40GB, 12557, 40960, 100
2026/07/16 19:07:25.460, 0, NVIDIA A100-SXM4-40GB, 16815, 40960, 100
2026/07/16 19:07:35.502, 0, NVIDIA A100-SXM4-40GB, 17277, 40960, 100
2026/07/16 19:07:45.544, 0, NVIDIA A100-SXM4-40GB, 14117, 40960, 97
2026/07/16 19:07:55.585, 0, NVIDIA A100-SXM4-40GB, 13697, 40960, 100
2026/07/16 19:08:05.625, 0, NVIDIA A100-SXM4-40GB, 13697, 40960, 93
2026/07/16 19:08:15.666, 0, NVIDIA A100-SXM4-40GB, 16995, 40960, 100
2026/07/16 19:08:25.709, 0, NVIDIA A100-SXM4-40GB, 13697, 40960, 100
2026/07/16 19:08:35.752, 0, NVIDIA A100-SXM4-40GB, 13697, 40960, 100
2026/07/16 19:08:45.791, 0, NVIDIA A100-SXM4-40GB, 6775, 40960, 100
2026/07/16 19:08:55.875, 0, NVIDIA A100-SXM4-40GB, 17517, 40960, 100
2026/07/16 19:09:05.916, 0, NVIDIA A100-SXM4-40GB, 13757, 40960, 100
2026/07/16 19:09:15.958, 0, NVIDIA A100-SXM4-40GB, 13757, 40960, 70
2026/07/16 19:09:26.003, 0, NVIDIA A100-SXM4-40GB, 17517, 40960, 100
2026/07/16 19:09:36.043, 0, NVIDIA A100-SXM4-40GB, 13697, 40960, 100
2026/07/16 19:09:46.082, 0, NVIDIA A100-SXM4-40GB, 13697, 40960, 100
2026/07/16 19:09:56.122, 0, NVIDIA A100-SXM4-40GB, 6775, 40960, 100
2026/07/16 19:10:06.175, 0, NVIDIA A100-SXM4-40GB, 17417, 40960, 100
2026/07/16 19:10:16.216, 0, NVIDIA A100-SXM4-40GB, 13777, 40960, 100
2026/07/16 19:10:26.261, 0, NVIDIA A100-SXM4-40GB, 6795, 40960, 100
2026/07/16 19:10:36.299, 0, NVIDIA A100-SXM4-40GB, 17537, 40960, 100
2026/07/16 19:10:46.340, 0, NVIDIA A100-SXM4-40GB, 13777, 40960, 100
2026/07/16 19:10:56.371, 0, NVIDIA A100-SXM4-40GB, 13777, 40960, 100
2026/07/16 19:11:06.414, 0, NVIDIA A100-SXM4-40GB, 14277, 40960, 83
