layer,latent_mult,k,context_mode,feature_set,donor_type,receiver_row_idx,donor_row_idx,receiver_example_id,donor_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,repair,strong_repair
26,2,4,dept,control5_active,anomalous,12978,41734,FSC0601:401,XHW0498:225,0.25,0.5095523595809937,0.519791305065155,0.010238945484161377,5,6,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12979,648,FSC0601:402,ABC0174:317,0.5,0.5289931297302246,0.5459957122802734,0.017002582550048828,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12980,41742,FSC0601:403,XHW0498:235,1.0,0.5328293442726135,0.6113187670707703,0.07848942279815674,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12981,25254,FSC0601:406,KRL0501:357,1.0,0.49001407623291016,0.517157793045044,0.02714371681213379,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12982,25254,FSC0601:407,KRL0501:357,1.0,0.5376941561698914,0.6260201334953308,0.08832597732543945,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12983,41769,FSC0601:408,XHW0498:275,0.25,0.5230154395103455,0.586254894733429,0.0632394552230835,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12984,655,FSC0601:409,ABC0174:325,1.0,0.5071678757667542,0.6275702714920044,0.12040239572525024,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12985,25244,FSC0601:410,KRL0501:343,0.25,0.48476430773735046,0.5200467109680176,0.035282403230667114,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12986,41760,FSC0601:413,XHW0498:262,1.0,0.4867556691169739,0.5049763321876526,0.01822066307067871,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12987,41731,FSC0601:414,XHW0498:220,0.5,0.5300855040550232,0.5680213570594788,0.037935853004455566,5,6,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12988,25256,FSC0601:415,KRL0501:359,0.5,0.498482882976532,0.5009528398513794,0.002469956874847412,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12989,21664,FSC0601:416,JMB0308:196,0.5,0.5190327167510986,0.5665838718414307,0.04755115509033203,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12990,664,FSC0601:417,ABC0174:337,0.25,0.48746198415756226,0.5271965265274048,0.03973454236984253,5,8,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12991,41749,FSC0601:420,XHW0498:246,0.5,0.4802953600883484,0.5019189119338989,0.021623551845550537,5,4,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12992,25256,FSC0601:421,KRL0501:359,0.25,0.49632617831230164,0.5106667280197144,0.01434054970741272,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12993,21667,FSC0601:422,JMB0308:199,0.5,0.47101685404777527,0.46658387780189514,-0.004432976245880127,5,6,"[6378, 3022, 1063, 886, 5508]",True,False
26,2,4,dept,control5_active,anomalous,12994,672,FSC0601:423,ABC0174:346,0.75,0.5018774271011353,0.5328666567802429,0.030989229679107666,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12995,677,FSC0601:424,ABC0174:352,1.0,0.3849963843822479,0.4072822630405426,0.022285878658294678,5,6,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12996,21664,FSC0601:427,JMB0308:196,0.75,0.5116118788719177,0.5428638458251953,0.03125196695327759,5,4,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12997,21666,FSC0601:428,JMB0308:198,0.5,0.47740471363067627,0.49282607436180115,0.015421360731124878,5,2,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12998,41732,FSC0601:429,XHW0498:221,0.5,0.4912292957305908,0.5064859986305237,0.015256702899932861,5,1,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,12999,679,FSC0601:430,ABC0174:354,0.75,0.5146710276603699,0.5215373039245605,0.006866276264190674,5,4,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,13000,26613,FSC0601:431,LQC0479:262,1.0,0.510499894618988,0.5195316076278687,0.009031713008880615,5,4,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,13001,657,FSC0601:434,ABC0174:327,0.5,0.38218554854393005,0.37057018280029297,-0.011615365743637085,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,13002,651,FSC0601:435,ABC0174:320,0.25,0.5058591365814209,0.5441051721572876,0.0382460355758667,5,4,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,13003,41750,FSC0601:436,XHW0498:247,0.5,0.5402155518531799,0.4980931580066681,-0.04212239384651184,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,13004,25256,FSC0601:437,KRL0501:359,0.25,0.4844743013381958,0.5066811442375183,0.02220684289932251,5,3,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,13005,25239,FSC0601:438,KRL0501:336,0.75,0.4868777394294739,0.5071192979812622,0.02024155855178833,5,3,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,13236,7526,FTM0406:326,CEJ0109:445,0.5,0.5126118063926697,0.5597604513168335,0.04714864492416382,5,9,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,13237,7511,FTM0406:329,CEJ0109:424,0.5,0.4819541275501251,0.51490718126297,0.03295305371284485,5,6,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,13238,15273,FTM0406:330,HBO0413:417,0.75,0.5238672494888306,0.5378047823905945,0.013937532901763916,5,6,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,13239,7496,FTM0406:331,CEJ0109:403,0.25,0.5701309442520142,0.6314939856529236,0.061363041400909424,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,13240,32329,FTM0406:332,NWT0098:408,0.25,0.8013121485710144,0.7880401611328125,-0.013271987438201904,5,2,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,14162,33202,GHL0460:310,PNL0301:205,0.5,0.45666202902793884,0.6567806005477905,0.20011857151985168,5,4,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,14163,11088,GHL0460:311,EHB0824:206,1.0,0.3944244384765625,0.4375462532043457,0.0431218147277832,5,8,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,15266,7528,HBO0413:408,CEJ0109:449,0.25,0.7996971607208252,0.7815742492675781,-0.01812291145324707,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15267,10184,HBO0413:409,DIB0285:210,0.75,0.8646197319030762,0.8460021018981934,-0.018617630004882812,5,8,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15268,7504,HBO0413:410,CEJ0109:415,1.0,0.7453886270523071,0.6856750845909119,-0.059713542461395264,5,8,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15269,10213,HBO0413:413,DIB0285:249,0.5,0.8917576670646667,0.8254151344299316,-0.06634253263473511,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15270,32344,HBO0413:414,NWT0098:429,0.25,0.8631676435470581,0.8064553141593933,-0.056712329387664795,5,8,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15271,7512,HBO0413:415,CEJ0109:427,1.0,0.8812432885169983,0.8116635680198669,-0.06957972049713135,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15272,10207,HBO0413:416,DIB0285:241,0.5,0.9165458679199219,0.8405372500419617,-0.0760086178779602,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15273,32353,HBO0413:417,NWT0098:442,0.75,0.8736045956611633,0.8032140731811523,-0.07039052248001099,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15274,10188,HBO0413:420,DIB0285:214,0.75,0.9010096788406372,0.8622756600379944,-0.03873401880264282,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15275,10213,HBO0413:421,DIB0285:249,0.75,0.9087439179420471,0.7678965330123901,-0.14084738492965698,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15276,13236,HBO0413:422,FTM0406:326,0.25,0.9162472486495972,0.8607027530670166,-0.055544495582580566,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15277,10195,HBO0413:423,DIB0285:225,0.5,0.865818977355957,0.7668507099151611,-0.0989682674407959,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15278,7530,HBO0413:424,CEJ0109:451,0.75,0.9901934266090393,0.8316155076026917,-0.15857791900634766,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15279,32361,HBO0413:427,NWT0098:452,0.75,0.8892796635627747,0.7974101901054382,-0.09186947345733643,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15280,32349,HBO0413:428,NWT0098:436,0.5,0.853722333908081,0.770900547504425,-0.082821786403656,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15281,32331,HBO0413:429,NWT0098:410,0.75,0.9032822251319885,0.7953776717185974,-0.10790455341339111,5,7,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15282,10193,HBO0413:430,DIB0285:221,1.0,0.8978086709976196,0.7822807431221008,-0.1155279278755188,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15283,10195,HBO0413:431,DIB0285:225,1.0,0.9020876884460449,0.7831559181213379,-0.11893177032470703,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15284,32365,HBO0413:434,NWT0098:458,0.75,0.8431659936904907,0.8037039041519165,-0.03946208953857422,5,7,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15285,10207,HBO0413:435,DIB0285:241,0.75,0.86236172914505,0.8269063234329224,-0.035455405712127686,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15286,33493,HBO0413:436,PPF0435:402,0.25,0.9123721122741699,0.8791069984436035,-0.033265113830566406,5,7,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15287,32330,HBO0413:437,NWT0098:409,1.0,0.8481754660606384,0.8623827695846558,0.014207303524017334,5,3,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,15288,33493,HBO0413:438,PPF0435:402,0.75,0.8598011136054993,0.8190799951553345,-0.040721118450164795,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15289,10207,HBO0413:441,DIB0285:241,0.25,0.9996190667152405,0.9596401453018188,-0.03997892141342163,5,7,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,15290,7510,HBO0413:442,CEJ0109:423,0.25,0.8373285531997681,0.7812303900718689,-0.05609816312789917,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
