layer,latent_mult,k,d_in,d_latent,train_mse,recon_mse,active_frac,effective_l0,dead_feature_frac,top10_row_gap_mean,top1_row_gap,decoder_mean_abs_cos_offdiag,decoder_max_abs_cos_offdiag,decoder_top_features_mean_abs_cos,decoder_top_features_max_abs_cos,top_feature_mean_pairwise_jaccard,top_feature_mean_active_overlap,top1_selectivity_proxy,top3_selectivity_proxy,top5_selectivity_proxy,control1_selectivity_proxy,control3_selectivity_proxy,top5_minus_control3_advantage_proxy
12,8,4,2048,16384,0.07863763768038304,0.0776958242058754,0.000244140625,4.0,0.89434814453125,2.356947919726372,10.464131355285645,0.028622341166933248,0.9844140211170362,0.25987172979848494,0.7802234492576612,0.018825001245620684,0.06278620623754572,0.26607913977932185,0.4314782964065671,0.48877694364637136,-1.0175979696214199e-05,0.0001454909797757864,0.4886314526665956
12,4,4,2048,8192,0.08103759677933274,0.08090980350971222,0.00048828125,4.0,0.842041015625,2.8511868953704833,10.690980911254883,0.048846240429542595,0.9786092159708775,0.3086700844272927,0.849461123088278,0.02279769631289564,0.0656055537690455,0.2637762895319611,0.44342994038015604,0.47965814359486103,-2.793385647237301e-06,-0.00020907155703753233,0.47986721515189856
12,8,8,2048,16384,0.05160326749193583,0.05142536014318466,0.00048828125,8.0,0.872802734375,2.5263322591781616,8.961709022521973,0.026057352828341783,0.9853042217182144,0.1325100328658434,0.6879400384556676,0.026796568342703712,0.15181019206083482,0.15725297335302457,0.3507672226987779,0.42500144243240356,-4.93490369990468e-05,0.011562133207917213,0.41343930922448635
12,2,4,2048,4096,0.07863862678515825,0.07805973291397095,0.0009765625,4.0,0.709716796875,2.0780018717050552,11.330331802368164,0.09095987413934542,0.9570466649565131,0.18987690865514747,0.7573930552538802,0.012324720622762693,0.05224762203372116,0.33630535076372325,0.3768545538187027,0.38618235290050507,-0.0002634424017742276,-0.0009637550683692098,0.3871461079688743
12,2,8,2048,4096,0.052579223359231465,0.05193803086876869,0.001953125,8.0,0.589599609375,2.9226212084293364,8.28847599029541,0.10184505082577222,0.9867623445583851,0.1374873994206532,0.4313019671092828,0.06070038847757101,0.14548840081545983,0.11751891591120511,0.257911566644907,0.37384001072496176,4.939731297781691e-06,-3.398663830012083e-05,0.3738739973632619
12,4,8,2048,8192,0.052031139407655316,0.05162118375301361,0.0009765625,8.0,0.8043212890625,2.5088863611221313,7.798131942749023,0.04847552365644015,0.944882501890331,0.1520662395155786,0.3871721249967791,0.030257741319552566,0.12764704227561455,0.12582039908738807,0.3557953021954745,0.3577558249235153,1.2194141163490713e-07,-9.354628855362535e-05,0.35784937121206895
12,8,16,2048,16384,0.03758369289713798,0.03718274459242821,0.0009765625,16.0,0.75048828125,2.481627333164215,7.021965026855469,0.051020307300041215,0.9795347228997562,0.1389454284357419,0.5717980834902595,0.05513117429092927,0.17834995956099647,0.11688238114584237,0.34507034718990326,0.3573555052280426,-2.0661187591031194e-05,-1.385487848892808e-05,0.35736936010653153
12,4,16,2048,8192,0.03396374751016391,0.032885484397411346,0.001953125,16.0,0.3050537109375,2.596424973011017,6.224864959716797,0.08336555139570925,0.9628601867157118,0.15614537019240063,0.5104877304056432,0.0974142405988339,0.16939778661489144,0.07894036988727748,0.2606576895341277,0.35453096590936184,-2.0911102183163166e-05,-4.9361668061465025e-05,0.3545803275774233
12,2,16,2048,4096,0.03195034664311855,0.03143396973609924,0.00390625,16.0,0.385986328125,2.624803161621094,9.807705879211426,0.0761989111528129,0.9789454650823455,0.13785001278519643,0.49755763116056123,0.04398742052400086,0.1279256701102705,0.2292580137727782,0.27842086902819574,0.3495098650455475,-2.5334789825137705e-05,3.008986823260784e-06,0.3495068560587242
12,4,32,2048,8192,0.022022937953793745,0.02177376113831997,0.00390625,32.0,0.4776611328125,2.692492002248764,5.809142112731934,0.05983886908457668,0.9908352638607095,0.1775434778852428,0.5434924777700983,0.11331519034543888,0.23379693147204156,0.04285111745411996,0.20318269857671112,0.30207589268684387,-1.2731048627756536e-05,-6.351617048494518e-05,0.3021394088573288
