layer,latent_mult,k,context_mode,target,n_receivers,estimate,ci_low,ci_high,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage
18,2,4,dept,top5,1309,-0.0010471967247444995,-0.001487672427986493,-0.0006350275533198416,-0.010391011424334198,-0.011786048948719267,-0.02130144441783474,-0.021649285217475302,-0.0013950375243850684,-0.00034784079964056414
18,2,4,dept,top3,1309,-0.001105184405700591,-0.0015431993293047322,-0.0006960253641749268,-0.009775960372548874,-0.011228985577890033,-0.02130144441783474,-0.021649285217475302,-0.0014530252053411592,-0.00034784079964056414
18,2,4,dept,top1,1309,-0.0012765550221806748,-0.0017168944603368663,-0.0008646296503732394,-0.008112777716062563,-0.0097371735378838,-0.02130144441783474,-0.021649285217475302,-0.0016243958218212368,-0.00034784079964056414
18,2,4,team,top5,1309,-0.0012778871677776049,-0.0016488466380524028,-0.0009064850519070455,-0.010391870227544888,-0.014419766761948803,-0.020831994945717004,-0.02358200431234332,-0.004027896534403915,-0.0027500093666263173
18,2,4,team,top3,1309,-0.001359708669806727,-0.0017298857374806928,-0.0009903456364040424,-0.009740884268529733,-0.013850602304962776,-0.020831994945717004,-0.02358200431234332,-0.004109718036433042,-0.0027500093666263173
18,2,4,role,top5,1309,-0.0014358498582956523,-0.0018549829641765405,-0.0010375531471417637,-0.010406604857732545,-0.013894500237917332,-0.021116615468714416,-0.023168660990603555,-0.0034878953801847877,-0.0020520455218891384
18,2,4,team,top1,1309,-0.0014915167943861175,-0.0018791635753408979,-0.0011221753406310615,-0.008151579679561266,-0.0123931058405737,-0.020831994945717004,-0.02358200431234332,-0.004241526161012435,-0.0027500093666263173
18,2,4,role,top3,1309,-0.0014976147730173812,-0.001922289429786005,-0.0011061635292423319,-0.009806170615647205,-0.013355830910553722,-0.021116615468714416,-0.023168660990603555,-0.0035496602949065172,-0.0020520455218891384
18,2,4,dept_role,top5,1309,-0.00162915191047514,-0.0020388239611870856,-0.001243241290676401,-0.010391545566645536,-0.013889686696123215,-0.021081513136830193,-0.022950502355832736,-0.0034981411294776783,-0.0018689892190025433
18,2,4,dept_role,top3,1309,-0.0016725196057007065,-0.0020728449340741803,-0.0012925791557710324,-0.009794581450971604,-0.013336090275674853,-0.021081513136830193,-0.022950502355832736,-0.003541508824703249,-0.0018689892190025433
18,2,4,role,top1,1309,-0.001705702135269652,-0.002123229972295308,-0.0013022450375889329,-0.008132402237997069,-0.011890149895155853,-0.021116615468714416,-0.023168660990603555,-0.0037577476571587845,-0.0020520455218891384
18,2,4,dept_role,top1,1309,-0.0018583894276819285,-0.002269173955090903,-0.001466929748073801,-0.008145193570073646,-0.011872572216758113,-0.021081513136830193,-0.022950502355832736,-0.0037273786466844663,-0.0018689892190025433
