intervention,delta_mean_anomaly,delta_mean_benign,n_rows_anomaly,n_rows_benign,selectivity_proxy
control1,6.793291686335579e-05,6.694420881103724e-05,21540.0,1978460.0,9.887080523185432e-07
control3,0.0003018701681867242,0.00033390623866580427,21540.0,1978460.0,-3.203607047908008e-05
top1,0.004089477006345987,0.00010028981341747567,21540.0,1978460.0,0.003989187192928512
top3,0.005835932679474354,0.00026663305470719934,21540.0,1978460.0,0.0055692996247671545
top5,0.006963488645851612,0.00036007113521918654,21540.0,1978460.0,0.0066034175106324255
