intervention,delta_mean_anomaly,delta_mean_benign,n_rows_anomaly,n_rows_benign,selectivity_proxy
control1,1.892490644195277e-07,4.174136120127514e-05,21540.0,1978460.0,-4.155211213685561e-05
control3,1.892490644195277e-07,4.174136120127514e-05,21540.0,1978460.0,-4.155211213685561e-05
top1,0.0008304577204398811,3.0283565138233826e-05,21540.0,1978460.0,0.0008001741553016473
top3,0.003671807236969471,4.859834007220343e-05,21540.0,1978460.0,0.0036232088968972676
top5,0.009605658240616322,6.97417272021994e-05,21540.0,1978460.0,0.009535916513414122
