layer,latent_mult,k,feature_set,n_features,feature_ids,mean_row_gap
26,4,8,top1,1,[6683],0.0598658017141851
26,4,8,top3,3,"[6683, 14142, 10307]",0.04935410014337974
26,4,8,top5,5,"[6683, 14142, 10307, 6734, 9078]",0.0444382265718013
26,4,8,control1,1,[7772],-0.000544130503911
26,4,8,control3,3,"[7772, 4918, 10756]",-3.764772864980003e-05
