intervention,delta_mean_anomaly,delta_mean_benign,n_rows_anomaly,n_rows_benign,selectivity_proxy
control1,0.0,0.0,21540.0,1978460.0,0.0
control3,0.0,0.0,21540.0,1978460.0,0.0
top1,0.0029511682223528624,1.3830803254677448e-05,21540.0,1978460.0,0.002937337419098185
top3,0.008406473323702812,6.462966121034697e-05,21540.0,1978460.0,0.008341843662492465
top5,0.012606407515704632,7.681308488827199e-05,21540.0,1978460.0,0.01252959443081636
