run_name,score_name,fold,heldout_pos_user,n_test_rows,n_test_pos_rows,day_pr_auc,day_roc_auc,day_top1_recall,n_test_users,n_test_pos_users,user_pr_auc,user_roc_auc,user_top1pct_recall,heldout_user_rank
qwen3_8b_r42_fold_aligned,neg_delta_nll,21,FSC0601,269233,42,0.00011943863449524654,0.34128263681071913,0.0,801,1,0.0013966480446927375,0.10624999999999996,0.0,716
qwen3_8b_r42_fold_aligned,adapted_nll,22,FTM0406,269661,5,0.002219046882175635,0.9784043373779927,0.2,801,1,0.2,0.995,1.0,5
qwen3_8b_r42_fold_aligned,base_nll,22,FTM0406,269661,5,5.292823180176768e-05,0.6970584745008456,0.0,801,1,0.0027247956403269754,0.5425,0.0,367
qwen3_8b_r42_fold_aligned,neg_delta_nll,22,FTM0406,269661,5,1.53659851875139e-05,0.29541564066811044,0.0,801,1,0.001349527665317139,0.07499999999999996,0.0,741
qwen3_8b_r42_fold_aligned,adapted_nll,23,GHL0460,269990,2,9.15431298934848e-05,0.9409492273730685,0.0,801,1,0.017543859649122806,0.9299999999999999,0.0,57
qwen3_8b_r42_fold_aligned,base_nll,23,GHL0460,269990,2,1.0423373374641038e-05,0.47618968250440763,0.0,801,1,0.001557632398753894,0.19874999999999998,0.0,642
qwen3_8b_r42_fold_aligned,neg_delta_nll,23,GHL0460,269990,2,6.9897399686581254e-06,0.22739899551091164,0.0,801,1,0.001388888888888889,0.10124999999999995,0.0,720
qwen3_8b_r42_fold_aligned,adapted_nll,24,HBO0413,270319,38,0.5551900250184806,0.999836719640125,1.0,801,1,1.0,1.0,1.0,1
qwen3_8b_r42_fold_aligned,base_nll,24,HBO0413,270319,38,0.0010264437982252005,0.9089931550770066,0.10526315789473684,801,1,0.021739130434782608,0.94375,0.0,46
qwen3_8b_r42_fold_aligned,neg_delta_nll,24,HBO0413,270319,38,0.0001092541807582714,0.3405450935176821,0.0,801,1,0.001314060446780552,0.050000000000000044,0.0,761
qwen3_8b_r42_fold_aligned,adapted_nll,25,HJB0742,270413,5,0.0001283149180428796,0.9156933226827608,0.0,801,1,0.013157894736842105,0.90625,0.0,76
qwen3_8b_r42_fold_aligned,base_nll,25,HJB0742,270413,5,2.2623272299071376e-05,0.2591054998372829,0.0,801,1,0.0028169014084507044,0.5575,0.0,355
qwen3_8b_r42_fold_aligned,neg_delta_nll,25,HJB0742,270413,5,1.191744430258392e-05,0.10797017839708885,0.0,801,1,0.0014184397163120568,0.12,0.0,705
