score_name,folds,day_pr_auc_mean,day_roc_auc_mean,day_top1_recall_mean,user_pr_auc_mean,user_roc_auc_mean,user_top1pct_recall_mean,heldout_user_rank_mean,heldout_user_rank_median
adapted_nll,60,0.01344735042538501,0.9641237271994123,0.2253296065096243,0.1008376343869617,0.9681875000000001,0.2,26.45,20.5
base_nll,60,0.0006304255800132489,0.5811878511938879,0.04297379262502042,0.012019252601862066,0.6229375,0.0,302.65,253.0
neg_delta_nll,60,5.948503904809998e-05,0.24484503684468856,0.0,0.0013566558476203671,0.07916666666666666,0.0,737.6666666666666,740.5
