layer,latent_mult,k,context_mode,feature_set,receiver_type,pair_idx,receiver_row_idx,matched_row_idx,receiver_example_id,matched_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,effect,strong_effect
18,4,8,team,top5,positive,13,25383,121601,CDE1846:427,SSH1845:28,0.25,0.4605143070220947,0.4761337339878082,0.015619426965713501,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,13,121601,25383,SSH1845:28,CDE1846:427,0.25,0.6045275926589966,0.5375776886940002,-0.06694990396499634,5,1,"[14358, 12848, 4196, 13580, 11292]",True,True
18,4,8,team,top5,positive,14,25384,73997,CDE1846:428,KRD2100:451,0.25,0.4696827530860901,0.4860655665397644,0.016382813453674316,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,14,73997,25384,KRD2100:451,CDE1846:428,0.25,0.459206223487854,0.41848424077033997,-0.04072198271751404,5,1,"[14358, 12848, 4196, 13580, 11292]",True,True
18,4,8,team,top5,positive,15,25385,121637,CDE1846:429,SSH1845:78,0.25,0.48370906710624695,0.5008912086486816,0.017182141542434692,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,15,121637,25385,SSH1845:78,CDE1846:429,0.25,0.572821319103241,0.5329155325889587,-0.03990578651428223,5,1,"[14358, 12848, 4196, 13580, 11292]",True,True
18,4,8,team,top5,positive,16,25386,73706,CDE1846:430,KRD2100:31,0.25,0.4298016130924225,0.4480392038822174,0.018237590789794922,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,16,73706,25386,KRD2100:31,CDE1846:430,0.25,0.44845661520957947,0.4595552384853363,0.011098623275756836,5,2,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,positive,17,25387,21002,CDE1846:431,BXK2091:267,0.25,0.46182042360305786,0.4806637465953827,0.01884332299232483,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,17,21002,25387,BXK2091:267,CDE1846:431,0.25,0.32735246419906616,0.3200991153717041,-0.0072533488273620605,5,1,"[14358, 12848, 4196, 13580, 11292]",True,False
18,4,8,team,top5,positive,18,25388,121713,CDE1846:434,SSH1845:186,0.25,0.41756606101989746,0.4190836548805237,0.0015175938606262207,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,18,121713,25388,SSH1845:186,CDE1846:434,0.25,0.5909203886985779,0.5828856229782104,-0.008034765720367432,5,1,"[14358, 12848, 4196, 13580, 11292]",True,False
18,4,8,team,top5,positive,19,25389,38777,CDE1846:435,DNV1964:416,0.25,0.4810541868209839,0.48258399963378906,0.0015298128128051758,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,19,38777,25389,DNV1964:416,CDE1846:435,0.25,0.4616527259349823,0.4928262233734131,0.031173497438430786,5,1,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,positive,20,25390,73688,CDE1846:436,KRD2100:7,0.25,0.4580255448818207,0.4614901542663574,0.003464609384536743,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,20,73688,25390,KRD2100:7,CDE1846:436,0.25,0.43415531516075134,0.4342765808105469,0.00012126564979553223,5,2,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,positive,21,25391,38664,CDE1846:437,DNV1964:253,0.25,0.454647958278656,0.4569549262523651,0.0023069679737091064,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,21,38664,25391,DNV1964:253,CDE1846:437,0.25,0.3424908518791199,0.36048710346221924,0.017996251583099365,5,2,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,positive,22,25392,21080,CDE1846:438,BXK2091:382,0.25,0.453688383102417,0.4551153779029846,0.001426994800567627,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,22,21080,25392,BXK2091:382,CDE1846:438,0.25,0.3233824670314789,0.28849053382873535,-0.03489193320274353,5,1,"[14358, 12848, 4196, 13580, 11292]",True,True
18,4,8,team,top5,positive,23,25393,121837,CDE1846:441,SSH1845:371,0.25,0.4744405746459961,0.48265862464904785,0.008218050003051758,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,23,121837,25393,SSH1845:371,CDE1846:441,0.25,0.5748116970062256,0.5196747779846191,-0.055136919021606445,5,1,"[14358, 12848, 4196, 13580, 11292]",True,True
18,4,8,team,top5,positive,24,25394,121630,CDE1846:442,SSH1845:67,0.25,0.4234159290790558,0.43207964301109314,0.008663713932037354,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,24,121630,25394,SSH1845:67,CDE1846:442,0.25,0.6008687019348145,0.555363118648529,-0.0455055832862854,5,1,"[14358, 12848, 4196, 13580, 11292]",True,True
18,4,8,team,top5,positive,25,25395,73892,CDE1846:443,KRD2100:297,0.25,0.48396870493888855,0.48936718702316284,0.005398482084274292,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,25,73892,25395,KRD2100:297,CDE1846:443,0.25,0.45512551069259644,0.418318510055542,-0.03680700063705444,5,1,"[14358, 12848, 4196, 13580, 11292]",True,True
18,4,8,team,top5,positive,26,25396,38709,CDE1846:444,DNV1964:315,0.25,0.4358266294002533,0.4306938052177429,-0.005132824182510376,5,5,"[14358, 12848, 4196, 13580, 11292]",True,False
18,4,8,team,top5,benign,26,38709,25396,DNV1964:315,CDE1846:444,0.25,0.46023446321487427,0.4607560336589813,0.0005215704441070557,5,2,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,positive,27,25397,121689,CDE1846:445,SSH1845:151,0.25,0.4287758469581604,0.43038639426231384,0.0016105473041534424,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,27,121689,25397,SSH1845:151,CDE1846:445,0.25,0.5736860036849976,0.551062822341919,-0.022623181343078613,5,1,"[14358, 12848, 4196, 13580, 11292]",True,True
18,4,8,team,top5,positive,28,25398,73752,CDE1846:448,KRD2100:98,0.25,0.45171621441841125,0.45617225766181946,0.004456043243408203,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,28,73752,25398,KRD2100:98,CDE1846:448,0.25,0.46827468276023865,0.4632665514945984,-0.005008131265640259,5,1,"[14358, 12848, 4196, 13580, 11292]",True,False
18,4,8,team,top5,positive,29,25399,38767,CDE1846:449,DNV1964:402,0.25,0.5384507179260254,0.523051381111145,-0.015399336814880371,5,4,"[14358, 12848, 4196, 13580, 11292]",True,True
18,4,8,team,top5,benign,29,38767,25399,DNV1964:402,CDE1846:449,0.25,0.33634015917778015,0.35348668694496155,0.017146527767181396,5,1,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,positive,30,25400,38777,CDE1846:450,DNV1964:416,0.25,0.4665936231613159,0.4720325469970703,0.0054389238357543945,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,30,38777,25400,DNV1964:416,CDE1846:450,0.25,0.4616527259349823,0.4928262233734131,0.031173497438430786,5,1,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,positive,31,25401,21143,CDE1846:451,BXK2091:471,0.25,0.4562937617301941,0.4583267271518707,0.0020329654216766357,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,31,21143,25401,BXK2091:471,CDE1846:451,0.25,0.3041549623012543,0.30423450469970703,7.954239845275879e-05,5,1,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,positive,32,25402,20951,CDE1846:452,BXK2091:193,0.25,0.4688948690891266,0.4704311490058899,0.0015362799167633057,5,4,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,32,20951,25402,BXK2091:193,CDE1846:452,0.25,0.3083348870277405,0.2970353066921234,-0.011299580335617065,5,1,"[14358, 12848, 4196, 13580, 11292]",True,True
18,4,8,team,top5,positive,33,25403,73765,CDE1846:455,KRD2100:115,0.25,0.437348872423172,0.42309117317199707,-0.014257699251174927,5,4,"[14358, 12848, 4196, 13580, 11292]",True,True
18,4,8,team,top5,benign,33,73765,25403,KRD2100:115,CDE1846:455,0.25,0.5004645586013794,0.4922386705875397,-0.008225888013839722,5,1,"[14358, 12848, 4196, 13580, 11292]",True,False
18,4,8,team,top5,positive,34,25404,121782,CDE1846:456,SSH1845:287,0.25,0.4546266794204712,0.44088488817214966,-0.013741791248321533,5,4,"[14358, 12848, 4196, 13580, 11292]",True,True
18,4,8,team,top5,benign,34,121782,25404,SSH1845:287,CDE1846:456,0.25,0.6187459230422974,0.6211472749710083,0.0024013519287109375,5,1,"[14358, 12848, 4196, 13580, 11292]",False,False
