layer,latent_mult,k,context_mode,feature_set,receiver_type,pair_idx,receiver_row_idx,matched_row_idx,receiver_example_id,matched_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,effect,strong_effect
18,4,8,dept_role,control5_active,benign,29,126570,25399,TRW3172:235,CDE1846:449,1.0,0.6243781447410583,0.529112696647644,-0.0952654480934143,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,30,135855,25400,WRF3534:372,CDE1846:450,0.5,0.6727082133293152,0.6014077663421631,-0.0713004469871521,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,31,14845,25401,BJW3558:274,CDE1846:451,0.75,0.5665460228919983,0.5478125810623169,-0.018733441829681396,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,32,3903,25402,AFB3228:23,CDE1846:452,1.0,0.38972601294517517,0.38744625449180603,-0.0022797584533691406,5,5,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,33,28195,25403,CJC1433:424,CDE1846:455,0.25,0.3541935682296753,0.3699614405632019,0.01576787233352661,5,10,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,34,101991,25404,PAA2738:276,CDE1846:456,1.0,0.35063624382019043,0.3130876123905182,-0.03754863142967224,5,11,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,35,29372,25405,CLE3098:512,CDE1846:457,0.5,0.38448238372802734,0.4501480758190155,0.06566569209098816,5,3,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,36,28245,25406,CJC1433:493,CDE1846:458,1.0,0.3028486669063568,0.3385423719882965,0.0356937050819397,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,37,21128,25407,BXK2091:450,CDE1846:459,0.75,0.32497477531433105,0.29609641432762146,-0.028878360986709595,5,10,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,38,14755,25408,BJW3558:143,CDE1846:462,0.25,0.5942879915237427,0.5231426954269409,-0.07114529609680176,5,4,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,39,7086,25409,AKP3573:59,CDE1846:463,0.5,0.4088073968887329,0.40306296944618225,-0.005744427442550659,5,5,"[14177, 4087, 1870, 13823, 11909]",True,False
