timestamp,index,name,memory.used MiB,memory.total MiB,utilization.gpu %
2026/07/13 21:19:29.088, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:19:39.126, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:19:49.176, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:19:59.213, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:20:09.249, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:20:19.286, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:20:29.323, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:20:39.362, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:20:49.398, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:20:59.434, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:21:09.472, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:21:19.510, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:21:29.548, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:21:39.588, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:21:49.626, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:21:59.664, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:22:09.701, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:22:19.739, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:22:29.790, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:22:39.828, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:22:49.864, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:22:59.900, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:23:09.937, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:23:19.988, 0, NVIDIA A100-SXM4-40GB, 0, 40960, 0
2026/07/13 21:23:30.040, 0, NVIDIA A100-SXM4-40GB, 949, 40960, 0
2026/07/13 21:23:40.074, 0, NVIDIA A100-SXM4-40GB, 8861, 40960, 8
2026/07/13 21:23:50.109, 0, NVIDIA A100-SXM4-40GB, 8897, 40960, 0
2026/07/13 21:24:00.143, 0, NVIDIA A100-SXM4-40GB, 8933, 40960, 8
2026/07/13 21:24:10.180, 0, NVIDIA A100-SXM4-40GB, 7107, 40960, 24
2026/07/13 21:24:20.215, 0, NVIDIA A100-SXM4-40GB, 12097, 40960, 100
2026/07/13 21:24:30.291, 0, NVIDIA A100-SXM4-40GB, 18417, 40960, 100
2026/07/13 21:24:40.330, 0, NVIDIA A100-SXM4-40GB, 17997, 40960, 100
2026/07/13 21:24:50.370, 0, NVIDIA A100-SXM4-40GB, 7055, 40960, 100
2026/07/13 21:25:00.405, 0, NVIDIA A100-SXM4-40GB, 12097, 40960, 100
2026/07/13 21:25:10.445, 0, NVIDIA A100-SXM4-40GB, 25157, 40960, 100
2026/07/13 21:25:20.482, 0, NVIDIA A100-SXM4-40GB, 17997, 40960, 100
2026/07/13 21:25:30.518, 0, NVIDIA A100-SXM4-40GB, 7055, 40960, 49
2026/07/13 21:25:40.553, 0, NVIDIA A100-SXM4-40GB, 12097, 40960, 100
2026/07/13 21:25:50.589, 0, NVIDIA A100-SXM4-40GB, 25157, 40960, 100
2026/07/13 21:26:00.624, 0, NVIDIA A100-SXM4-40GB, 17997, 40960, 100
2026/07/13 21:26:10.676, 0, NVIDIA A100-SXM4-40GB, 17239, 40960, 100
2026/07/13 21:26:20.710, 0, NVIDIA A100-SXM4-40GB, 12019, 40960, 100
2026/07/13 21:26:30.750, 0, NVIDIA A100-SXM4-40GB, 25157, 40960, 100
2026/07/13 21:26:40.786, 0, NVIDIA A100-SXM4-40GB, 17997, 40960, 100
2026/07/13 21:26:50.820, 0, NVIDIA A100-SXM4-40GB, 7075, 40960, 46
2026/07/13 21:27:00.856, 0, NVIDIA A100-SXM4-40GB, 12199, 40960, 100
2026/07/13 21:27:10.895, 0, NVIDIA A100-SXM4-40GB, 25157, 40960, 100
2026/07/13 21:27:20.934, 0, NVIDIA A100-SXM4-40GB, 18417, 40960, 100
2026/07/13 21:27:30.970, 0, NVIDIA A100-SXM4-40GB, 17997, 40960, 57
2026/07/13 21:27:41.019, 0, NVIDIA A100-SXM4-40GB, 12199, 40960, 100
2026/07/13 21:27:51.054, 0, NVIDIA A100-SXM4-40GB, 25157, 40960, 100
2026/07/13 21:28:01.092, 0, NVIDIA A100-SXM4-40GB, 17997, 40960, 100
2026/07/13 21:28:11.131, 0, NVIDIA A100-SXM4-40GB, 20019, 40960, 100
2026/07/13 21:28:21.169, 0, NVIDIA A100-SXM4-40GB, 13379, 40960, 100
2026/07/13 21:28:31.204, 0, NVIDIA A100-SXM4-40GB, 18417, 40960, 100
2026/07/13 21:28:41.240, 0, NVIDIA A100-SXM4-40GB, 17997, 40960, 81
2026/07/13 21:28:51.274, 0, NVIDIA A100-SXM4-40GB, 13619, 40960, 89
2026/07/13 21:29:01.310, 0, NVIDIA A100-SXM4-40GB, 25157, 40960, 100
2026/07/13 21:29:11.353, 0, NVIDIA A100-SXM4-40GB, 17997, 40960, 100
