layer,latent_mult,k,context_mode,target,n_receivers,estimate,ci_low,ci_high,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage
26,4,4,dept,top3,1309,5.3852056619134706e-05,-0.00014886611217392674,0.00026850642492700375,0.008192277653605265,0.007909925214838121,-0.0005999842361241846,-0.0009361887315104632,-0.00028235243876714375,-0.00033620449538627865
26,4,4,dept_role,top3,1309,-8.821024113342585e-05,-0.00034262589438668314,0.0001808083135950556,0.008200766887256803,0.007585611584261226,-0.0005999842361241846,-0.001126929297986334,-0.0006151553029955766,-0.0005269450618621494
26,4,4,dept,top5,1309,-0.00013333428124601932,-0.0003384875792460743,8.771820171722725e-05,0.009166894851976715,0.008697356075344413,-0.0005999842361241846,-0.0009361887315104632,-0.0004695387766323021,-0.00033620449538627865
26,4,4,role,top3,1309,-0.00014678865238580406,-0.0004105192523042703,0.00013564511325360812,0.008217101439981623,0.007543367725733672,-0.0005999842361241846,-0.001126929297986334,-0.0006737337142479509,-0.0005269450618621494
26,4,4,team,top3,1309,-0.00016175636223384284,-0.0004342072201512793,0.00011590695374334257,0.008257581246910062,0.007646172009323092,-0.0005999842361241846,-0.00104963711147731,-0.0006114092375869695,-0.0004496528753531254
26,4,4,dept,top1,1309,-0.000206717514099286,-0.0003766764288325641,-3.789179283212152e-05,0.006398091387256942,0.005855169377771376,-0.0005999842361241846,-0.0009361887315104632,-0.0005429220094855655,-0.00033620449538627865
26,4,4,dept_role,top5,1309,-0.00024515353968527896,-0.0005046300123309813,3.045110944074727e-05,0.009140061560343742,0.008367962958796316,-0.0005999842361241846,-0.001126929297986334,-0.0007720986015474253,-0.0005269450618621494
26,4,4,role,top5,1309,-0.00026182148454752046,-0.0005264816357490215,1.9513041270515533e-05,0.009137513780521005,0.00834874723411134,-0.0005999842361241846,-0.001126929297986334,-0.0007887665464096656,-0.0005269450618621494
26,4,4,team,top5,1309,-0.0003261129372533356,-0.0006034045529283574,-4.494055519357374e-05,0.009221801680859208,0.008446035868252749,-0.0005999842361241846,-0.00104963711147731,-0.000775765812606459,-0.0004496528753531254
26,4,4,role,top1,1309,-0.00033417797161478256,-0.0005466252790210464,-0.00011767288819353837,0.006381850111930763,0.005520727078453829,-0.0005999842361241846,-0.001126929297986334,-0.000861123033476934,-0.0005269450618621494
26,4,4,dept_role,top1,1309,-0.0003770056278128217,-0.000583411839123989,-0.00016816136739561762,0.0064238453407702845,0.005519894651095312,-0.0005999842361241846,-0.001126929297986334,-0.0009039506896749722,-0.0005269450618621494
26,4,4,team,top1,1309,-0.0003952242268962292,-0.0006122943147664035,-0.0001755847047083771,0.0063839632309147885,0.005539086128665434,-0.0005999842361241846,-0.00104963711147731,-0.0008448771022493548,-0.0004496528753531254
