layer,latent_mult,k,feature_set,n_features,feature_ids,mean_row_gap
18,4,4,top1,1,[3575],0.0678797841655617
18,4,4,top3,3,"[3575, 870, 15730]",0.057005501270916
18,4,4,top5,5,"[3575, 870, 15730, 4251, 13021]",0.04995886724386224
18,4,4,control1,1,[14578],-0.0022112735932593
18,4,4,control3,3,"[14578, 2492, 12982]",-0.007057257633195566
