layer,latent_mult,k,context_mode,target,n_receivers,estimate,ci_low,ci_high,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage
18,4,4,project_role,top5,70,0.042177252684320723,0.03342869081667492,0.05079343259334565,-0.08631116875580376,-0.044133916071483044,0.0012397881065096086,0.0012397881065096086,0.04217725268432072,0.0
18,4,4,role,top5,70,0.04086445357118335,0.03262590869196824,0.04930430452738491,-0.08499836964266638,-0.044133916071483044,0.0012397881065096086,0.0012397881065096086,0.04086445357118334,0.0
18,4,4,dept_role,top5,70,0.04047865484442031,0.03225160565759456,0.04882584304681847,-0.08461257091590335,-0.044133916071483044,0.0012397881065096086,0.0012397881065096086,0.04047865484442031,0.0
18,4,4,team,top1,70,0.034278782350676384,0.027978291586041423,0.04056360850376741,-0.06946840924876074,-0.03810101790087561,0.0012397881065096086,-0.0016716028962816402,0.03136739134788513,-0.0029113910027912487
18,4,4,team,top5,70,0.024661983336721118,0.019390937994633383,0.03012971401214595,-0.06414410131318227,-0.04239350897925239,0.0012397881065096086,-0.0016716028962816402,0.021750592333929876,-0.0029113910027912487
18,4,4,role,top1,70,0.02035456895828247,0.01457059741020203,0.02646392786077091,-0.06945798609937938,-0.04910341714109691,0.0012397881065096086,0.0012397881065096086,0.02035456895828247,0.0
18,4,4,project_role,top1,70,0.020344113877841404,0.014560090143765728,0.02646516533834594,-0.06944753101893832,-0.04910341714109691,0.0012397881065096086,0.0012397881065096086,0.020344113877841408,0.0
18,4,4,dept_role,top1,70,0.020335890991347177,0.014560090143765728,0.026454963737300472,-0.06943930813244409,-0.04910341714109691,0.0012397881065096086,0.0012397881065096086,0.02033589099134718,0.0
18,4,4,team,top3,70,0.002431134240967865,0.0009144784723009153,0.004063475281000099,-0.055475907666342576,-0.05595616442816596,0.0012397881065096086,-0.0016716028962816402,-0.0004802567618233805,-0.0029113910027912487
18,4,4,dept_role,top3,70,0.00237227124827249,0.0006292757924113895,0.004098591368113243,-0.059273139068058533,-0.05690086781978605,0.0012397881065096086,0.0012397881065096086,0.002372271248272481,0.0
18,4,4,role,top3,70,0.0022224920136588,0.0005058331255401906,0.0040383658238819726,-0.05912335983344484,-0.05690086781978605,0.0012397881065096086,0.0012397881065096086,0.002222492013658789,0.0
18,4,4,project_role,top3,70,0.002088403701782228,0.0005380229651927922,0.003683584726282536,-0.05898927152156827,-0.05690086781978605,0.0012397881065096086,0.0012397881065096086,0.0020884037017822182,0.0
