layer,latent_mult,k,context_mode,target,n_receivers,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage,top_minus_control_advantage
18,4,4,team,top3,70,-0.012868385655539376,-0.012323695421218871,0.00013612593923296247,-0.0006541737488337926,0.0005446902343205044,-0.000790299688066755,0.0013349899223872594
18,4,4,project_role,top5,70,-0.023290965812546867,-0.022949021203177315,0.0001644709280558995,0.00014269522258213588,0.0003419446093695516,-2.177570547376361e-05,0.00036372031484331526
18,4,4,dept_role,top5,70,-0.02325823562485831,-0.022949021203177315,0.00012883799416678291,0.00014269522258213588,0.0003092144216809943,1.385722841535297e-05,0.00029535719326564134
18,4,4,role,top3,70,-0.012190213799476624,-0.011980590224266053,0.00014246233872004918,0.00014269522258213588,0.00020962357521057094,2.3288386208670402e-07,0.00020939069134848424
18,4,4,dept_role,top3,70,-0.012160365922110422,-0.011980590224266053,0.00012883799416678291,0.00014269522258213588,0.00017977569784436917,1.385722841535297e-05,0.0001659184694290162
18,4,4,project_role,top3,70,-0.012104762877736772,-0.011980590224266053,0.0001644709280558995,0.00014269522258213588,0.00012417265347071903,-2.177570547376361e-05,0.00014594835894448264
18,4,4,role,top5,70,-0.023082899621554784,-0.022949021203177315,0.00014246233872004918,0.00014269522258213588,0.00013387841837746856,2.3288386208670402e-07,0.00013364553451538185
18,4,4,team,top5,70,-0.022726613283157348,-0.023541535224233356,0.00013612593923296247,-0.0006541737488337926,-0.0008149219410760085,-0.000790299688066755,-2.462225300925349e-05
18,4,4,project_role,top1,70,-0.001109551957675389,-0.0013226862464632307,0.0001644709280558995,0.00014269522258213588,-0.00021313428878784175,-2.177570547376361e-05,-0.00019135858331407814
18,4,4,dept_role,top1,70,-0.0011236169508525304,-0.0013226862464632307,0.00012883799416678291,0.00014269522258213588,-0.00019906929561070027,1.385722841535297e-05,-0.00021292652402605324
18,4,4,role,top1,70,-0.0010840292487825666,-0.0013226862464632307,0.00014246233872004918,0.00014269522258213588,-0.00023865699768066406,2.3288386208670402e-07,-0.00023888988154275077
18,4,4,team,top1,70,-0.001315153922353472,-0.0024342954158782957,0.00013612593923296247,-0.0006541737488337926,-0.0011191414935248238,-0.000790299688066755,-0.0003288418054580688
