layer,latent_mult,k,context_mode,target,n_receivers,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage,top_minus_control_advantage
18,4,4,project_role,top5,70,-0.08631116875580379,-0.044133916071483065,-0.03572078687804086,-0.03551858833857945,0.042177252684320723,0.00020219853946140676,0.04197505414485932
18,4,4,dept_role,top5,70,-0.08461257091590337,-0.044133916071483065,-0.03532773426600865,-0.03551858833857945,0.0404786548444203,-0.00019085407257080078,0.0406695089169911
18,4,4,role,top5,70,-0.08499836964266641,-0.044133916071483065,-0.0357283958366939,-0.03551858833857945,0.040864453571183346,0.00020980749811444488,0.0406546460730689
18,4,4,team,top5,70,-0.06414410131318228,-0.042393508979252405,-0.035553912605558124,-0.03602193721703121,0.021750592333929876,-0.0004680246114730849,0.02221861694540296
