intervention,delta_mean_anomaly,delta_mean_benign,n_rows_anomaly,n_rows_benign,selectivity_proxy
control1,0.00016831335960887372,0.00016831197717692703,21540.0,1978460.0,1.382431946694851e-09
control3,0.0002362068189540878,0.00025024093338288367,21540.0,1978460.0,-1.4034114428795874e-05
top1,0.0032998044043779373,8.187268394976854e-05,21540.0,1978460.0,0.0032179317204281688
top3,0.004537356086075306,0.00014936586376279593,21540.0,1978460.0,0.00438799022231251
top5,0.007337318267673254,0.0002361842052778229,21540.0,1978460.0,0.007101134062395431
