layer,latent_mult,k,feature_set,n_features,feature_ids,mean_row_gap
18,4,4,top1,1,[4886],0.0839315354824066
18,4,4,top3,3,"[4886, 1183, 3735]",0.0809844359755516
18,4,4,top5,5,"[4886, 1183, 3735, 737, 5281]",0.07702108472585675
18,4,4,control1,1,[101],0.0
18,4,4,control3,3,"[101, 173, 230]",0.0
