layer,latent_mult,k,feature_set,n_features,feature_ids,mean_row_gap
34,4,4,top1,1,[7536],0.0594721126883942
34,4,4,top3,3,"[7536, 10410, 12234]",0.048380162985343166
34,4,4,top5,5,"[7536, 10410, 12234, 11051, 4487]",0.04496748422680102
34,4,4,control1,1,[21],0.0
34,4,4,control3,3,"[21, 62, 93]",0.0
