layer,latent_mult,k,context_mode,target,n_receivers,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage,top_minus_control_advantage
34,4,4,dept_role,top5,1309,0.003893758580828551,0.0034860120168435293,-0.0005999842361241829,-0.001126929297986333,-0.0004077465639850215,-0.00052694506186215,0.00011919849787712846
34,4,4,role,top5,1309,0.0038894897111961184,0.0034754458755095374,-0.0005999842361241829,-0.001126929297986333,-0.0004140438356865809,-0.00052694506186215,0.00011290122617556905
34,4,4,team,top5,1309,0.0038840140637958023,0.0035337252048611915,-0.0005999842361241829,-0.0010496371114773091,-0.00035028885893461075,-0.0004496528753531262,9.936401641851542e-05
34,4,4,dept_role,top3,1309,0.003940689497726213,0.0035093265284646823,-0.0005999842361241829,-0.001126929297986333,-0.0004313629692615311,-0.00052694506186215,9.558209260061888e-05
34,4,4,role,top3,1309,0.003949852311674924,0.003511860078759918,-0.0005999842361241829,-0.001126929297986333,-0.00043799223291500575,-0.00052694506186215,8.895282894714421e-05
34,4,4,dept_role,top1,1309,0.0038232722748682826,0.003379889976623133,-0.0005999842361241829,-0.001126929297986333,-0.0004433822982451495,-0.00052694506186215,8.35627636170005e-05
34,4,4,role,top1,1309,0.0038206376152424707,0.0033716844683662453,-0.0005999842361241829,-0.001126929297986333,-0.00044895314687622536,-0.00052694506186215,7.799191498592461e-05
34,4,4,team,top3,1309,0.003936392795137998,0.003559546276209826,-0.0005999842361241829,-0.0010496371114773091,-0.00037684651892817226,-0.0004496528753531262,7.280635642495392e-05
34,4,4,team,top1,1309,0.0038218078060492564,0.003436533422575733,-0.0005999842361241829,-0.0010496371114773091,-0.00038527438347352345,-0.0004496528753531262,6.437849187960272e-05
34,4,4,dept,top5,1309,0.0038824190362160946,0.0034548328453753176,-0.0005999842361241829,-0.0009361887315104625,-0.000427586190840777,-0.0003362044953862795,-9.138169545449746e-05
34,4,4,dept,top3,1309,0.003949479133778624,0.0035073675323388704,-0.0005999842361241829,-0.0009361887315104625,-0.0004421116014397537,-0.0003362044953862795,-0.00010590710605347419
34,4,4,dept,top1,1309,0.003829025637110833,0.0033773401477484415,-0.0005999842361241829,-0.0009361887315104625,-0.0004516854893623916,-0.0003362044953862795,-0.00011548099397611208
