layer,latent_mult,k,feature_set,n_features,feature_ids,mean_row_gap
18,2,4,top1,1,[3801],0.097025697980386
18,2,4,top3,3,"[3801, 5011, 3981]",0.09590320718423977
18,2,4,top5,5,"[3801, 5011, 3981, 6024, 6159]",0.09220904880135078
18,2,4,control1,1,[863],0.0
18,2,4,control3,3,"[863, 960, 968]",0.0
