layer,latent_mult,k,feature_set,n_features,feature_ids,mean_row_gap
18,2,8,top1,1,[420],0.1203574761748313
18,2,8,top3,3,"[420, 2034, 3318]",0.11089730014403652
18,2,8,top5,5,"[420, 2034, 3318, 1406, 1344]",0.10221338719129555
18,2,8,control1,1,[920],0.0002804957330226
18,2,8,control3,3,"[920, 225, 2018]",-0.0007926641652981668
