feature_id,row_gap,row_support_gap,row_mean_pos,row_mean_neg,row_active_frac
6567,0.13251175969771073,0.0020890609318253597,0.1333913018555141,0.0008795421578033513,6.9e-05
13974,0.11205421171488018,0.002017717821870045,0.11411319496239793,0.0020589832475177367,0.000186
4963,0.1117347841956395,0.0021163548877304577,0.11240500252669679,0.0006702183310572925,4.2e-05
11508,0.09802299169550141,0.0019120566382952759,0.12680814421165842,0.028785152516157007,0.0006155
4192,0.08689718705073982,0.0005305567141962952,0.1663545575203891,0.07945737046964929,0.0026785
8708,0.08017199550050369,0.0021102895641959916,0.08057656708755423,0.0004045715870505406,4.8e-05
5623,0.07994869303700264,0.0017299744431369863,0.11351703410361139,0.033568341066608755,0.001492
332,0.07877332631356251,0.0017291095103550286,0.08390221647786784,0.005128890164305324,0.0004715
15857,0.07845376318956719,0.0018256492432786155,0.08911790816786119,0.010664144978294002,0.000376
11513,0.07796491400292652,0.0043876542939416665,0.07825602507746209,0.0002911110745355731,7e-05
3782,0.07170839006565986,0.0016113411450608098,0.07990130891153518,0.00819291884587532,0.000588
1395,0.07055181510626961,0.002065305081315367,0.07082871850597272,0.0002769033997031128,9.25e-05
8243,0.06993328996880022,0.0019702816792753967,0.07324220751210729,0.0033089175433070788,0.0001865
6245,0.06811934799737722,0.004202383157788585,0.06848981816567197,0.0003704701682947488,0.000114
3890,0.06759880511046341,0.002051152659734946,0.06870124820436498,0.0011024430939015628,0.0001065
3120,0.06268290159980051,0.004834343971856373,0.06423120395718843,0.001548302357387908,0.0003245
10221,0.05914519317126397,0.001512274193997862,0.07418037262246248,0.01503517945119851,0.000686
1815,0.056135362505319565,0.0019611081355483608,0.05823089929787008,0.0020955367925505155,0.000242
14733,0.05517336821115108,0.001916199211093073,0.058570793456464536,0.0033974252453134544,0.00024
3648,0.05490608215686823,0.005381262604940445,0.05818532524334687,0.003279243086478646,0.000387
8415,0.054546888134858085,0.0018140240398375554,0.06490735060214553,0.010360462467287446,0.0003875
3699,0.05439249911224345,0.0021395297361872416,0.054595487119981065,0.00020298800773761743,6.55e-05
1032,0.05093968780439002,0.0008264106563247926,0.058569723838108385,0.00763003603371837,0.0010395
11529,0.04835009860018433,0.0016896849073809984,0.06110814419629514,0.012758045596110816,0.0005105
2237,0.047254770542233,0.002064851730763348,0.04974651980311536,0.002491749260882362,0.0003715
