layer,latent_mult,k,context_mode,feature_set,receiver_type,pair_idx,receiver_row_idx,matched_row_idx,receiver_example_id,matched_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,effect,strong_effect
18,4,8,dept_role,control5_active,benign,25,69128,25395,KCM2495:347,CDE1846:443,0.25,0.36033162474632263,0.37726232409477234,0.016930699348449707,5,3,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,26,121833,25396,SSH1845:364,CDE1846:444,0.5,0.5825403332710266,0.5251514911651611,-0.05738884210586548,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,27,109081,25397,RHO0678:310,CDE1846:445,0.25,0.4952779710292816,0.4639347791671753,-0.03134319186210632,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,28,105666,25398,QKO2718:98,CDE1846:448,1.0,0.6839566826820374,0.6739392876625061,-0.01001739501953125,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,29,126547,25399,TRW3172:204,CDE1846:449,0.25,0.6665417551994324,0.5762689709663391,-0.09027278423309326,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,30,135852,25400,WRF3534:368,CDE1846:450,0.25,0.6649553179740906,0.5939550399780273,-0.07100027799606323,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,31,14889,25401,BJW3558:338,CDE1846:451,1.0,0.5557520389556885,0.5175588130950928,-0.0381932258605957,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,32,3903,25402,AFB3228:23,CDE1846:452,0.75,0.38972601294517517,0.3889627754688263,-0.000763237476348877,5,5,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,33,27955,25403,CJC1433:100,CDE1846:455,0.25,0.3254004716873169,0.3297501504421234,0.0043496787548065186,5,10,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,34,101888,25404,PAA2738:128,CDE1846:456,0.25,0.35007038712501526,0.34882596135139465,-0.0012444257736206055,5,11,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,35,29141,25405,CLE3098:177,CDE1846:457,1.0,0.3652225136756897,0.4119808077812195,0.046758294105529785,5,5,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,36,28006,25406,CJC1433:168,CDE1846:458,0.75,0.35702458024024963,0.35164111852645874,-0.0053834617137908936,5,7,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,37,23318,25407,CCB0547:15,CDE1846:459,1.0,0.2772354185581207,0.2847646474838257,0.007529228925704956,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,38,14796,25408,BJW3558:204,CDE1846:462,0.25,0.5525915622711182,0.49033328890800476,-0.0622582733631134,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,39,7106,25409,AKP3573:87,CDE1846:463,0.5,0.4547863304615021,0.49808013439178467,0.04329380393028259,5,4,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,40,117060,25410,SHG1281:74,CDE1846:464,0.25,0.4157913625240326,0.3779717683792114,-0.03781959414482117,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,41,43931,25411,FCB0563:16,CDE1846:465,1.0,0.6404566168785095,0.6755828261375427,0.0351262092590332,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,42,47852,25412,GDS3165:142,CDE1846:466,1.0,0.3758840262889862,0.3883458077907562,0.01246178150177002,5,5,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,43,45726,25413,FNW3564:37,CDE1846:469,0.75,0.4128686785697937,0.38513708114624023,-0.027731597423553467,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,44,40659,25414,DSB2734:441,CDE1846:470,0.25,0.3667708933353424,0.3721456229686737,0.005374729633331299,5,10,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,45,53659,25415,HBM0676:91,CDE1846:471,0.75,0.39772218465805054,0.40769368410110474,0.0099714994430542,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,46,106938,25416,RBB0585:394,CDE1846:472,0.5,0.39349907636642456,0.43368715047836304,0.04018807411193848,5,9,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,47,102109,25417,PAA2738:449,CDE1846:473,0.25,0.3927799165248871,0.3507135510444641,-0.042066365480422974,5,11,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,48,4350,25418,AFP2709:106,CDE1846:476,0.25,0.40988245606422424,0.42966756224632263,0.01978510618209839,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,49,115969,25419,SDM3560:399,CDE1846:477,1.0,0.48323115706443787,0.46892431378364563,-0.014306843280792236,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,50,69202,25420,KCM2495:456,CDE1846:478,0.25,0.3458203077316284,0.37218138575553894,0.026361078023910522,5,4,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,51,133923,30006,WEC3721:260,CMP2946:401,0.5,0.38658690452575684,0.3877681791782379,0.001181274652481079,5,2,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,52,99307,30007,NVH3726:147,CMP2946:402,0.25,0.4396976828575134,0.4195388853549957,-0.0201587975025177,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,53,27625,30008,CHL3430:143,CMP2946:403,0.25,0.31157124042510986,0.34215983748435974,0.030588597059249878,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,54,19679,30009,BSS2956:458,CMP2946:406,1.0,0.3381234109401703,0.33999672532081604,0.001873314380645752,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,55,99264,30010,NVH3726:85,CMP2946:407,0.25,0.434702605009079,0.4204522669315338,-0.014250338077545166,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,56,51080,30011,GSH1593:81,CMP2946:408,0.5,0.6323344111442566,0.6095016002655029,-0.022832810878753662,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,57,72646,30012,KMS0954:269,CMP2946:409,1.0,0.28460147976875305,0.3486998975276947,0.06409841775894165,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,58,19476,30013,BSS2956:164,CMP2946:410,1.0,0.3997427225112915,0.3622875213623047,-0.037455201148986816,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,59,134012,30014,WEC3721:392,CMP2946:413,1.0,0.361046701669693,0.3587314784526825,-0.002315223217010498,5,7,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,60,70519,30015,KEM2934:284,CMP2946:414,1.0,0.5290262699127197,0.4975627362728119,-0.03146353363990784,5,3,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,61,128924,30016,URC2874:506,CMP2946:415,1.0,0.3616522252559662,0.33528071641921997,-0.026371508836746216,5,10,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,62,95571,30017,NGR2884:246,CMP2946:416,0.25,0.5467972159385681,0.4872651696205139,-0.0595320463180542,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,63,52732,30018,GWW3788:414,CMP2946:417,0.5,0.4391011893749237,0.4570491909980774,0.017948001623153687,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,64,141960,30019,ZNA0921:357,CMP2946:420,0.5,0.4491424262523651,0.4051065146923065,-0.044035911560058594,5,11,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,65,54290,30020,HCM2945:490,CMP2946:421,0.5,0.3943319618701935,0.4047587215900421,0.010426759719848633,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,66,72582,30021,KMS0954:177,CMP2946:422,0.25,0.29708942770957947,0.30764681100845337,0.010557383298873901,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,67,99488,30022,NVH3726:410,CMP2946:423,0.25,0.4716709554195404,0.46106648445129395,-0.01060447096824646,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,68,195,30023,AAS3428:231,CMP2946:424,1.0,0.33812960982322693,0.29825660586357117,-0.03987300395965576,5,11,"[14177, 4087, 1870, 13823, 11909]",True,True
