unit,layer,latent_mult,k,n_rows,d_in,d_latent,train_mse,recon_mse,active_frac,effective_l0,dead_feature_frac,top10_row_gap_mean,top1_row_gap,decoder_mean_abs_cos_offdiag,decoder_max_abs_cos_offdiag,decoder_top_features_mean_abs_cos,decoder_top_features_max_abs_cos,top_feature_mean_pairwise_jaccard,top_feature_mean_active_overlap,top1_selectivity_proxy,top3_selectivity_proxy,top5_selectivity_proxy,control1_selectivity_proxy,control3_selectivity_proxy,top5_minus_control3_advantage_proxy
token,18,4,4,2000000,4096,16384,0.07916303937359578,0.07784036639785767,0.00024407366943359374,3.998903,0.0166015625,0.09365336263980342,0.13251175969771073,0.038566111696590855,0.9921748638153076,0.053319111466407776,0.33994290232658386,1.1523419351692133e-05,1.659303507352789e-05,0.003697441747135599,0.011373469409591053,0.028509081806987524,0.0,0.0,0.028509081806987524
token,18,2,4,2000000,4096,8192,0.07531433042085488,0.07474417580413818,0.00048784271240234376,3.9964075,0.00341796875,0.08528557273572153,0.09702569798038606,0.02930793288713772,0.9763160943984985,0.05870644748210907,0.22464415431022644,0.0,0.0,0.0035849457772201276,0.009877105487248627,0.014817863753705751,0.0,0.0,0.014817863753705751
token,18,4,8,2000000,4096,16384,0.05538581470922702,0.05446750065994263,0.0004873191223144531,7.9842365,0.010009765625,0.08654020141185267,0.11481861533327287,0.024140489314558946,0.97941654920578,0.05799369886517525,0.21222636103630066,0.004347399515861182,0.015903290163563413,0.0016244041162281064,0.008087009551672963,0.01414250377274584,9.865116226137616e-07,-1.0388852388132364e-05,0.014152892625133973
token,18,2,8,2000000,4096,8192,0.06106761910767887,0.06106176794052124,0.0009744988403320312,7.9830945,0.002197265625,0.08098229504609716,0.10727050852636094,0.02349498322865783,0.9794496297836304,0.04371080920100212,0.23975065350532532,0.004812653806461856,0.00628997098269067,0.003598518642320414,0.008289224511827342,0.011232010234380141,-2.392138139839517e-05,-3.5562268749345094e-05,0.011267572503129486
token,26,2,4,2000000,4096,8192,0.10792215200472463,0.10697496447372437,0.0004881542358398437,3.9989595,0.009521484375,0.13083188240042054,0.4554009981793859,0.024397864163442074,0.9630753397941589,0.06780661642551422,0.3287215828895569,0.0037556725974207668,0.009429137497995559,0.0032393922519986518,0.0064001426653703675,0.011009594250936061,-7.767815793613408e-05,-4.4149841414764524e-05,0.011053744092350826
token,26,4,4,2000000,4096,16384,0.10724144948528344,0.10607541063690186,0.00024414059448242187,3.9999995,0.03912353515625,0.12384842189367103,0.36970927264115183,0.028204220180231405,0.9714046716690063,0.08806883543729782,0.7640752196311951,7.503607503607504e-05,8.818342151675484e-05,0.002551673685957212,0.00522870417626109,0.00909120163123589,0.0,0.0,0.00909120163123589
token,26,4,8,2000000,4096,16384,0.07687742499242287,0.07618948001098633,0.000487992431640625,7.995268,0.017578125,0.16978662715408604,0.5718258902252928,0.02079281129076827,0.9732688069343567,0.07872693240642548,0.5802342295646667,0.0039527186844454205,0.009866187597268832,0.0032179317204281688,0.00438799022231251,0.007101134062395431,1.382431946694851e-09,-1.4034114428795874e-05,0.007115168176824227
token,26,2,8,2000000,4096,8192,0.0863844375364132,0.0855205883102417,0.0009748916015625,7.986312,0.00390625,0.16363877242225913,0.6041642922198727,0.021083786577538968,0.9578259587287903,0.059278249740600586,0.42840057611465454,0.0007457131407579712,0.012477447009247255,0.003989187192928512,0.0055692996247671545,0.0066034175106324255,9.887080523185432e-07,-3.203607047908008e-05,0.006635453581111506
token,34,4,4,2000000,4096,16384,0.09608142004788288,0.09488666516876221,0.00024413894653320313,3.9999725,0.01458740234375,0.09560714578494592,0.11114141537846164,0.024364483811358688,0.9901992082595825,0.05627111718058586,0.25521910190582275,0.0,0.0,0.002937337419098185,0.008341843662492465,0.01252959443081636,0.0,0.0,0.01252959443081636
token,34,4,8,2000000,4096,16384,0.0732948760252545,0.0724612028388977,0.00048716339111328123,7.981685,0.0047607421875,0.09779755626977604,0.13782014211485705,0.01778856397785872,0.9808583855628967,0.04416421428322792,0.2121419459581375,0.0,0.0,0.002753728821517143,0.007993244165845681,0.011456246578745777,1.570046879351139e-05,-5.6563643738627434e-05,0.011512810222484404
token,34,2,4,2000000,4096,8192,0.10419963217951769,0.1030869080543518,0.000487637939453125,3.99473,0.0015869140625,0.09394302364218601,0.10263353317989918,0.020426270131450677,0.966170608997345,0.0429425984621048,0.24010691046714783,0.0,0.0,0.0011446930147940293,0.005063538963440806,0.009996363602112979,0.0,0.0,0.009996363602112979
token,34,2,8,2000000,4096,8192,0.09192112495014272,0.09132738076400757,0.0009747916259765625,7.985493,0.000732421875,0.08215373027538656,0.09852801286890242,0.018818728283326563,0.9907054901123047,0.031578365713357925,0.23065820336341858,9.730128248597219e-05,9.769236673714473e-05,0.0001238077020389028,0.004017058585304767,0.0072582137217978016,-2.111468347720802e-06,-3.022432792931795e-05,0.0072884380497271195
