layer,latent_mult,k,context_mode,target,n_receivers,n_complete_receivers,estimate,ci_low,ci_high,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage
18,4,8,role,top5,70,70,0.0068476957934243445,0.0033618097645895756,0.010789943411946305,-0.0670229945863996,-0.058398371083395795,-0.010173030836241567,-0.008396103126662108,0.008624623503003801,0.0017769277095794603
18,4,8,dept_role,top5,70,70,0.006818096978323815,0.0035410012624093497,0.010321053596479578,-0.06722852289676663,-0.058398371083395795,-0.010408157961709142,-0.008396103126662108,0.008830151813370846,0.0020120548350470316
18,4,8,project_role,top5,70,70,0.004200631805828645,0.0015650949307850469,0.006979163831898154,-0.0645022162369319,-0.058385721274784606,-0.010306773015430978,-0.008390909859112323,0.006116494962147304,0.0019158631563186573
18,4,8,team,top5,70,0,,,,,,,,,
