layer,latent_mult,k,feature_set,n_features,feature_ids,mean_row_gap
26,4,4,top1,1,[220],0.057749006322592
26,4,4,top3,3,"[220, 13729, 4838]",0.053703261575354266
26,4,4,top5,5,"[220, 13729, 4838, 3436, 6688]",0.05080117129447428
26,4,4,control1,1,[128],0.0
26,4,4,control3,3,"[128, 144, 151]",0.0
