layer,latent_mult,k,context_mode,target,n_receivers,estimate,ci_low,ci_high,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage
18,4,8,dept_role,top5,70,0.018698955433709284,0.012729131111076892,0.025157431992036964,-0.06789229895387375,-0.049278813600540136,-0.010480494584356015,-0.010565964664731692,0.01861348535333361,-8.547008037567728e-05
18,4,8,role,top5,70,0.018603206958089556,0.01332902598593916,0.024236055942518372,-0.06674176709992542,-0.04856049673897877,-0.010417690873146038,-0.010839627470288937,0.018181270360946654,-0.00042193659714289886
18,4,8,project_role,top5,70,0.013251043217522773,0.009461639033896591,0.017327365960393658,-0.06461936490876333,-0.05150340029171532,-0.010477433885846805,-0.010612512486321573,0.013115964617048004,-0.0001350786004747674
18,4,8,team,top5,70,0.008216139248439234,0.005513475601162223,0.010974416924374434,-0.05162278498922073,-0.04411159796374183,-0.010700279900005874,-0.011405232122966204,0.007511187025478899,-0.0007049522229603308
18,4,8,team,top3,70,0.0018051879746573288,0.0004312409247670848,0.003329081333109305,-0.012720431600298177,-0.01162019584860118,-0.010700279900005874,-0.011405232122966204,0.001100235751696996,-0.0007049522229603308
18,4,8,role,top3,70,0.0007354672466005641,-0.0008034295588731777,0.002332781223314153,-0.011866867116519367,-0.011553336467061701,-0.010417690873146038,-0.010839627470288937,0.00031353064945766583,-0.00042193659714289886
18,4,8,project_role,top3,70,0.00041448899677822264,-0.0011603880886520623,0.002065381524818293,-0.012128773331642135,-0.011849362935338682,-0.010477433885846805,-0.010612512486321573,0.00027941039630345263,-0.0001350786004747674
18,4,8,dept_role,top3,70,-4.1799885885928455e-06,-0.0014034344575234619,0.0013681621104478943,-0.012134742311068928,-0.012224392380033195,-0.010480494584356015,-0.010565964664731692,-8.965006896426674e-05,-8.547008037567728e-05
18,4,8,team,top1,70,-0.0016346931457519517,-0.002515401712485723,-0.0008015527576208122,-0.011425289937428045,-0.013764935306140329,-0.010700279900005874,-0.011405232122966204,-0.0023396453687122842,-0.0007049522229603308
18,4,8,role,top1,70,-0.00362919100693294,-0.004536432091678886,-0.0027426946056740625,-0.008916442734854535,-0.012967570338930375,-0.010417690873146038,-0.010839627470288937,-0.0040511276040758396,-0.00042193659714289886
18,4,8,project_role,top1,70,-0.003928253906113756,-0.004995109460183541,-0.002885064823286875,-0.00883483546120777,-0.012898167967796298,-0.010477433885846805,-0.010612512486321573,-0.004063332506588527,-0.0001350786004747674
18,4,8,dept_role,top1,70,-0.0041836270264216675,-0.0052700015583208555,-0.0030922108569315424,-0.008651311482701958,-0.012920408589499305,-0.010480494584356015,-0.010565964664731692,-0.0042690971067973465,-8.547008037567728e-05
