layer,latent_mult,k,feature_set,n_features,feature_ids,mean_row_gap
26,2,4,top1,1,[4596],0.0734608044654614
26,2,4,top3,3,"[4596, 3673, 2302]",0.05844756043772017
26,2,4,top5,5,"[4596, 3673, 2302, 3455, 1268]",0.05166321362274614
26,2,4,control1,1,[16],0.0
26,2,4,control3,3,"[16, 93, 104]",0.0
