layer,latent_mult,k,context_mode,target,n_pairs,estimate,ci_low,ci_high,top_positive_mean_best_delta,top_benign_mean_best_delta,control_positive_mean_best_delta,control_benign_mean_best_delta,top_necessity_advantage,control_necessity_advantage
26,2,4,dept_role,top5,1039,0.002921765202278119,0.0014595845163843744,0.004378717055650024,0.006619231834563068,-0.0048330516999908315,0.009992156066609983,-0.004381892670222035,-0.011452283534553898,-0.01437404873683202
26,2,4,role,top5,1119,0.0020754502302200426,0.0006788293630470602,0.003417916163815459,0.010819614373007658,-0.0016569982451770456,0.014386755984419679,-0.00016530686398507296,-0.012476612618184703,-0.014552062848404752
26,2,4,dept,top5,1199,0.001154900989102957,-0.00024222611038758637,0.0025363825544329646,0.006937035527996856,4.941189010705594e-05,0.00990238451430755,0.0018598598873147943,-0.0068876236378898,-0.008042524626992755
26,2,4,team,top5,1301,0.0006618064518253357,-0.0008800599941673184,0.0022359139807837194,0.009540738656738917,-0.0015044053823191073,0.012537019262856275,0.0008300687719729187,-0.011045144039058024,-0.011706950490883355
