intervention,delta_mean_anomaly,delta_mean_benign,n_rows_anomaly,n_rows_benign,selectivity_proxy
control1,5.795041215606034e-05,6.294334161793813e-05,21540.0,1978460.0,-4.992929461877793e-06
control3,0.0002790887956507504,0.000268760573817417,21540.0,1978460.0,1.0328221833333373e-05
top1,0.0003098715969827026,8.669085946166888e-05,21540.0,1978460.0,0.00022318073752103373
top3,0.0025603927206248045,0.00014487220323644578,21540.0,1978460.0,0.0024155205173883587
top5,0.004954639356583357,0.0002969068300444633,21540.0,1978460.0,0.004657732526538894
