layer,latent_mult,k,context_mode,target,n_receivers,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage,top_minus_control_advantage
18,4,8,dept,top3,1309,-0.004845825131382079,-0.0063588425938276225,-0.01906391043668489,-0.019445322379982134,-0.0015130174624455438,-0.00038141194329724404,-0.0011316055191482998
18,4,8,dept,top5,1309,-0.004693858183186139,-0.006221973219839465,-0.01906391043668489,-0.019445322379982134,-0.0015281150366533254,-0.00038141194329724404,-0.0011467030933560813
18,4,8,dept,top1,1309,-0.003916444602679259,-0.00547954158941419,-0.01906391043668489,-0.019445322379982134,-0.0015630969867349315,-0.00038141194329724404,-0.0011816850434376875
18,4,8,dept_role,top3,1309,-0.004891714082591128,-0.008181628787490227,-0.019029561677809614,-0.020240249719849245,-0.0032899147048990997,-0.0012106880420396302,-0.0020792266628594696
18,4,8,role,top3,1309,-0.004882341866915785,-0.00818270860372198,-0.01882152623625727,-0.020000720190309768,-0.003300366736806196,-0.0011791939540524987,-0.002121172782753697
18,4,8,dept_role,top5,1309,-0.0047301253100403215,-0.008108831128152479,-0.019029561677809614,-0.020240249719849245,-0.003378705818112157,-0.0012106880420396302,-0.002168017776072527
18,4,8,role,top5,1309,-0.004710080561699805,-0.00807884761265346,-0.01882152623625727,-0.020000720190309768,-0.0033687670509536544,-0.0011791939540524987,-0.0021895730969011557
18,4,8,dept_role,top1,1309,-0.0039496919278246105,-0.007400992799570216,-0.019029561677809614,-0.020240249719849245,-0.0034513008717456054,-0.0012106880420396302,-0.0022406128297059753
18,4,8,role,top1,1309,-0.003941277473185971,-0.007417181311808441,-0.01882152623625727,-0.020000720190309768,-0.00347590383862247,-0.0011791939540524987,-0.002296709884569971
18,4,8,team,top3,1309,-0.004890144838915243,-0.008632201550569672,-0.018857957355569936,-0.020238643718457933,-0.0037420567116544295,-0.0013806863628879965,-0.002361370348766433
18,4,8,team,top5,1309,-0.004707253439176893,-0.008535939912653953,-0.018857957355569936,-0.020238643718457933,-0.00382868647347706,-0.0013806863628879965,-0.0024480001105890636
18,4,8,team,top1,1309,-0.0039427853819065375,-0.007880601926647678,-0.018857957355569936,-0.020238643718457933,-0.0039378165447411404,-0.0013806863628879965,-0.002557130181853144
