layer,latent_mult,k,feature_set,n_features,feature_ids,mean_row_gap
18,4,8,top1,1,[11493],0.0417658482821921
18,4,8,top3,3,"[11493, 9303, 11456]",0.03862021353816177
18,4,8,top5,5,"[11493, 9303, 11456, 11484, 14650]",0.0360160611862208
18,4,8,control1,1,[3627],3.619355857768791e-05
18,4,8,control3,3,"[3627, 9546, 8009]",6.921896637989597e-05
