layer,latent_mult,k,context_mode,target,n_receivers,estimate,ci_low,ci_high,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage
18,4,4,project_role,top5,70,0.04197505414485932,0.033279047853180345,0.05058225945702621,-0.08631116875580376,-0.044133916071483044,-0.03572078687804083,-0.035518588338579425,0.04217725268432072,0.00020219853946140676
18,4,4,dept_role,top5,70,0.0406695089169911,0.03245537187371935,0.0490836847467082,-0.08461257091590335,-0.044133916071483044,-0.035327734266008624,-0.035518588338579425,0.04047865484442031,-0.00019085407257080078
18,4,4,role,top5,70,0.0406546460730689,0.032361866374100955,0.04911353093172824,-0.08499836964266638,-0.044133916071483044,-0.03572839583669388,-0.035518588338579425,0.04086445357118334,0.00020980749811445182
18,4,4,team,top5,70,0.022218616945402943,0.017021536656788402,0.02749870019299642,-0.06414410131318227,-0.04239350897925239,-0.0355539126055581,-0.036021937217031175,0.021750592333929876,-0.00046802461147307794
